tarih,stok,kalan_raf_omru,promo,karar,miktar,aciliyet,tedarikci,fire_riski,senaryo,indirim,net_etki_eur,onay,tool_sayisi,kural_mudahalesi,gerekce
2015-07-03,383.4,3,1,indirim_uygula,0,yuksek,yok,85.6,%50 indirim,0.5,291.0,1,8,1,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 291.0 EUR, %30 indirimde ise 287.6 EUR olarak hesaplandı. %50 indirim uygulanabilir ve daha kârlı olduğu için bu senaryo seçildi."
2015-07-04,263.4,2,0,indirim_uygula,0,yuksek,yok,77.1,%30 indirim,0.3,259.1,0,8,0,"Fire riski var, %30 indirim senaryosunda net etki 259.1 EUR, %50 indirim senaryosunda net etki 262.1 EUR. Ancak, peş peşe iki gün %50 indirim uygulanamaz, bu nedenle %30 indirim uygulanacaktır."
2015-07-06,154.5,1,0,indirim_uygula,0,yuksek,yok,67.0,%50 indirim,0.5,227.8,1,8,0,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 227.8 EUR, %30 indirimde ise 225.1 EUR olarak hesaplandı. %50 indirim uygulanabilir ve daha kârlı olduğu için bu senaryo seçildi."
2015-07-07,0.0,3,0,siparis_ver,100,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,7,0,"Fire riski bulunmamaktadır ve sipariş ihtiyacı 100 birimdir. ExpressLog, aciliyet nedeniyle tercih edilmiştir. Minimum sipariş miktarı 200 birim olduğundan Schnellware kullanılamamaktadır."
2015-07-08,405.1,3,0,indirim_uygula,0,yuksek,yok,118.3,%50 indirim,0.5,402.2,1,8,0,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 402.2 EUR, %30 indirimde ise 397.5 EUR olarak hesaplandı. %50 indirim uygulanabilir ve daha kârlı olduğu için bu senaryo seçildi."
2015-07-09,307.6,2,0,indirim_uygula,0,yuksek,yok,103.3,%30 indirim,0.3,347.1,0,8,0,İndirim senaryoları değerlendirildi. %50 indirim uygulanamadığı için %30 indirim seçildi. Bu senaryonun net etkisi 347.1 EUR olarak hesaplandı.
2015-07-10,212.4,1,0,indirim_uygula,0,yuksek,yok,98.8,%50 indirim,0.5,335.9,1,8,0,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 335.9 EUR, %30 indirimde ise 332.0 EUR olarak hesaplandı. %50 indirim uygulanabilir ve daha kârlı bir seçenek olduğu için bu tercih edildi."
2015-07-11,0.0,3,0,siparis_ver,150,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,10,1,"Mevcut stok 0 adet ve talep 150 adet. Fire riski yok, bu nedenle sipariş verilmesi gerekiyor. ExpressLog, aciliyet nedeniyle tercih edilen tedarikçi olarak belirlenmiştir."
2015-07-13,373.6,3,1,indirim_uygula,0,yuksek,yok,13.8,%30 indirim,0.3,46.4,0,9,0,"Fire riski nedeniyle indirim uygulanması gerekmektedir. %50 indirim senaryosu, %30 indirim senaryosuna göre daha yüksek net etki sağlıyor. Ancak, peş peşe iki gün %50 indirim uygulanamayacağı için %30 indirim uygulanacaktır."
2015-07-14,247.6,2,1,indirim_uygula,0,yuksek,yok,10.2,%50 indirim (kural motoru),0.5,34.7,1,9,1,"Mevcut stok, tahmin edilen talebi karşılamakta ve fazladan stok bulunuyor. İndirim senaryoları da olumlu sonuçlar veriyor, ancak sipariş vermeye gerek yok."
2015-07-15,128.4,1,1,indirim_uygula,0,yuksek,Schnellware GmbH,11.0,indirim %30,0.3,37.0,0,10,1,"Fire riski nedeniyle fazla stok tespit edildi. %50 indirim senaryosu daha kârlı görünse de, peş peşe iki gün %50 indirim uygulanamaz. Bu nedenle %30 indirim uygulanacaktır."
2015-07-16,0.0,3,1,siparis_ver,150,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,7,0,"Fire riski bulunmamaktadır. Sipariş ihtiyacı 150 adet olarak hesaplanmıştır. ExpressLog, aciliyet nedeniyle tercih edilmiştir ve minimum sipariş miktarı sağlanmaktadır."
2015-07-17,378.7,3,1,indirim_uygula,0,yuksek,yok,67.9,%50 indirim,0.5,230.9,1,8,0,"Fire riski var. %50 indirim senaryosunun net etkisi 230.9 EUR, %30 indirim senaryosunun net etkisi ise 228.1 EUR. Politika kısıtı nedeniyle %50 indirim uygulanabilir, bu nedenle daha kârlı senaryoyu seçtim."
2015-07-18,268.5,2,0,indirim_uygula,0,yuksek,yok,73.8,%30 indirim,0.3,248.0,0,8,1,"Fire riski var; %50 indirim uygulanamadığı için %30 indirim senaryosunu seçtim. %30 indirimle net etki 248.0 EUR, %50 indirimle 250.9 EUR olmasına rağmen kısıt nedeniyle %30'u uygulamak zorundayım."
2015-07-20,158.7,1,0,indirim_uygula,0,yuksek,yok,67.3,%50 indirim,0.5,228.8,1,8,0,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 228.8 EUR, %30 indirimde ise 226.1 EUR olarak hesaplandı. Politika kısıtları nedeniyle %50 indirim uygulanabilir, bu nedenle bu senaryo seçildi."
2015-07-21,0.0,3,0,siparis_ver,100,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,7,0,"Mevcut stok 0 adet ve tahmin edilen ihtiyaç 105.1 adettir. ExpressLog, aciliyet nedeniyle tercih edilmiştir. Minimum sipariş miktarı 200 birimdir, bu nedenle sipariş verilecektir."
2015-07-22,413.4,3,0,indirim_uygula,0,yuksek,yok,121.5,%50 indirim (kural motoru),0.5,413.1,1,9,1,"Mevcut stok, tahmin edilen talebi fazlasıyla karşılıyor. Sipariş vermeye gerek yok. Fire riski nedeniyle indirim senaryoları değerlendirildi, ancak şu an için beklemek en mantıklısı."
2015-07-23,319.2,2,0,indirim_uygula,0,yuksek,yok,112.4,%30 indirim (politika kisiti),0.3,382.2,0,8,1,"İndirim senaryoları değerlendirildi. %50 indirim uygulandığında net etki 382.2 EUR, %30 indirimde ise 377.7 EUR olarak hesaplandı. %50 indirim uygulanabilir, bu nedenle bu senaryo seçildi."
2015-07-24,226.5,1,0,indirim_uygula,0,yuksek,yok,112.2,%30 indirim,0.3,377.0,0,8,1,"Fire riski var ve indirim senaryoları değerlendirildi. %50 indirim senaryosu net etki açısından daha kârlı, ancak peş peşe iki gün %50 indirim uygulanamaz. Bu nedenle %30 indirim uygulanacaktır."
2015-07-25,0.0,3,0,siparis_ver,150,orta,ExpressLog,0.0,fire riski yok,0.0,0.0,0,8,1,"Mevcut stok 0 adet ve tahmin edilen ihtiyaç 150 adettir. Fire riski bulunmamaktadır. ExpressLog, aciliyet nedeniyle tercih edilmiştir."
2015-07-27,347.4,3,1,bekle,0,dusuk,yok,0.0,fire riski yok,0.0,0.0,0,4,0,"Mevcut stok, tahmin edilen talebi karşılamakta ve fazladan stok bulunmamaktadır. Bu nedenle sipariş vermeye gerek yoktur. Bekleme kararı alındı."
2015-07-28,222.2,2,1,bekle,0,dusuk,yok,0.0,fire riski yok,0.0,0.0,0,4,1,"Mevcut stok, tahmin edilen talebi karşılamak için yeterlidir. Fire riski bulunmamaktadır. Sipariş vermeye gerek yok."
2015-07-29,102.6,1,1,siparis_ver,50,orta,Schnellware GmbH,0.0,fire riski yok,0.0,0.0,0,6,1,Fire riski bulunmamaktadır ve sipariş ihtiyacı 50 adet olarak hesaplanmıştır. Tedarikçi seçim kurallarına göre ExpressLog tercih edilmiştir. Minimum sipariş miktarı 500 birim olduğundan Schnellware ile sipariş verilecektir.
2015-07-30,0.0,3,1,siparis_ver,150,orta,Schnellware,0.0,fire riski yok,0.0,0.0,0,7,0,Fire riski bulunmamaktadır. Sipariş ihtiyacı 150 birimdir ve bu miktar Schnellware tedarikçisinin minimum sipariş miktarını karşılamaktadır. Önceki gün indirim uygulanmadığı için %50 indirim uygulanabilir.
2015-07-31,368.4,3,1,indirim_uygula,0,yuksek,yok,368.4,%50 indirim (kural motoru),0.5,1252.6,1,10,1,"Fire riski nedeniyle indirim senaryoları değerlendirildi. %50 indirim uygulanabilir, ancak onay gerektirmektedir. %30 indirimle net etki daha düşük olsa da onay gerektirmediği için tercih edildi."
